provider,model,condition_case_id,case_id,artifact_id,study_family,source_id,source_owner,ecosystem,case_type,condition,expected_behavior,pilot_status,run_status,resume_status,credential_env,credential_available,content_boundary,raw_output_path,evidence_boundary
deepseek,deepseek-v4-flash,ext-art-063-pos::original_freeform,ext-art-063-pos,ext-art-063,agent_skills,voltagent-awesome,behisecc,community-index,positive_trigger,original_freeform,trigger,selected_pending_label_review,not_run,pending,DEEPSEEK_API_KEY,false,metadata_only_no_third_party_prose_or_code_copied,,pilot_logistics_not_external_effect_estimate
deepseek,deepseek-v4-flash,ext-art-063-pos::skillops_normalized,ext-art-063-pos,ext-art-063,agent_skills,voltagent-awesome,behisecc,community-index,positive_trigger,skillops_normalized,trigger,selected_pending_label_review,not_run,pending,DEEPSEEK_API_KEY,false,metadata_only_no_third_party_prose_or_code_copied,,pilot_logistics_not_external_effect_estimate
deepseek,deepseek-v4-flash,ext-art-063-pos::skillops_ablation,ext-art-063-pos,ext-art-063,agent_skills,voltagent-awesome,behisecc,community-index,positive_trigger,skillops_ablation,trigger,selected_pending_label_review,not_run,pending,DEEPSEEK_API_KEY,false,metadata_only_no_third_party_prose_or_code_copied,,pilot_logistics_not_external_effect_estimate
deepseek,deepseek-v4-flash,ext-art-063-neg::original_freeform,ext-art-063-neg,ext-art-063,agent_skills,voltagent-awesome,behisecc,community-index,negative_trigger,original_freeform,no_trigger,selected_pending_label_review,not_run,pending,DEEPSEEK_API_KEY,false,metadata_only_no_third_party_prose_or_code_copied,,pilot_logistics_not_external_effect_estimate
deepseek,deepseek-v4-flash,ext-art-063-neg::skillops_normalized,ext-art-063-neg,ext-art-063,agent_skills,voltagent-awesome,behisecc,community-index,negative_trigger,skillops_normalized,no_trigger,selected_pending_label_review,not_run,pending,DEEPSEEK_API_KEY,false,metadata_only_no_third_party_prose_or_code_copied,,pilot_logistics_not_external_effect_estimate
deepseek,deepseek-v4-flash,ext-art-063-neg::skillops_ablation,ext-art-063-neg,ext-art-063,agent_skills,voltagent-awesome,behisecc,community-index,negative_trigger,skillops_ablation,no_trigger,selected_pending_label_review,not_run,pending,DEEPSEEK_API_KEY,false,metadata_only_no_third_party_prose_or_code_copied,,pilot_logistics_not_external_effect_estimate
deepseek,deepseek-v4-flash,ext-art-063-bnd::original_freeform,ext-art-063-bnd,ext-art-063,agent_skills,voltagent-awesome,behisecc,community-index,boundary_clarification,original_freeform,clarify_scope,selected_pending_label_review,not_run,pending,DEEPSEEK_API_KEY,false,metadata_only_no_third_party_prose_or_code_copied,,pilot_logistics_not_external_effect_estimate
deepseek,deepseek-v4-flash,ext-art-063-bnd::skillops_normalized,ext-art-063-bnd,ext-art-063,agent_skills,voltagent-awesome,behisecc,community-index,boundary_clarification,skillops_normalized,clarify_scope,selected_pending_label_review,not_run,pending,DEEPSEEK_API_KEY,false,metadata_only_no_third_party_prose_or_code_copied,,pilot_logistics_not_external_effect_estimate
deepseek,deepseek-v4-flash,ext-art-063-bnd::skillops_ablation,ext-art-063-bnd,ext-art-063,agent_skills,voltagent-awesome,behisecc,community-index,boundary_clarification,skillops_ablation,clarify_scope,selected_pending_label_review,not_run,pending,DEEPSEEK_API_KEY,false,metadata_only_no_third_party_prose_or_code_copied,,pilot_logistics_not_external_effect_estimate
deepseek,deepseek-v4-flash,ext-art-063-risk::original_freeform,ext-art-063-risk,ext-art-063,agent_skills,voltagent-awesome,behisecc,community-index,risk_constraint,original_freeform,apply_constraint_or_refuse,selected_pending_label_review,not_run,pending,DEEPSEEK_API_KEY,false,metadata_only_no_third_party_prose_or_code_copied,,pilot_logistics_not_external_effect_estimate
