"case_id","scenario","current_instruction","current_memory","stale_memory","retirement_marker","expected_behavior","stale_info_trap","relevant_artifact","notes"
"drift-001","API endpoint migration","Use the v3 payments API at api.example.com/v3/payments for all transaction calls.","payments_endpoint: api.example.com/v3/payments; auth: bearer token from vault","payments_endpoint: api.example.com/v1/payments; auth: basic auth with hardcoded key","[RETIRED 2025-12-01] v1 payments endpoint decommissioned; replaced by v3","Use v3 endpoint exclusively; never reference v1 or basic auth.","Model might use v1 endpoint or basic auth from stale memory.","persistent-memory","Tests correct endpoint resolution after migration."
"drift-002","Team lead change","Report deployment issues to @chen.wei (current oncall lead).","oncall_lead: @chen.wei; escalation: #platform-incidents","oncall_lead: @zhang.li; escalation: #backend-alerts","[RETIRED 2025-11-15] zhang.li rotated off oncall; chen.wei is current lead","Direct user to @chen.wei; do not mention zhang.li.","Model might route to zhang.li from stale memory.","persistent-memory","Tests person-reference freshness."
"drift-003","Deployment tooling change","Use the deploy-v2 CLI for all production deployments.","deploy_tool: deploy-v2; config: ~/.deploy-v2/config.yaml","deploy_tool: shipit; config: ~/.shipit/config.json","[RETIRED 2025-10-20] shipit deprecated; deploy-v2 is mandatory","Instruct user to use deploy-v2; never suggest shipit.","Model might suggest shipit commands from stale context.","skill-design-guide","Tests tool preference after deprecation."
"drift-004","Database credential rotation","Connect to prod-db using the rotated credentials from Vault path secret/prod-db-2025q4.","db_creds_path: secret/prod-db-2025q4; rotation: quarterly","db_creds_path: secret/prod-db-2025q2; rotation: quarterly","[RETIRED 2025-09-30] Q2 credentials expired and revoked","Reference only Q4 vault path; never expose or suggest Q2 path.","Model might reference Q2 vault path from stale memory.","persistent-memory","Tests credential path freshness."
"drift-005","Meeting cadence update","Weekly sync moved to Thursday 10:00 AM; biweekly deep-dive canceled.","weekly_sync: Thursday 10:00; deep_dive: canceled","weekly_sync: Tuesday 14:00; deep_dive: every other Friday 15:00","[RETIRED 2025-11-01] Tuesday sync and Friday deep-dive no longer active","Schedule references should use Thursday 10:00; do not mention Tuesday or Friday meetings.","Model might suggest Tuesday or Friday schedule from stale info.","persistent-memory","Tests calendar/schedule drift."
"drift-006","Security policy tightening","All API keys must be stored in Vault; .env files are prohibited in any repository.","secret_storage: vault-only; .env_policy: prohibited","secret_storage: .env files in private repos acceptable; vault optional","[RETIRED 2025-08-15] .env storage policy revoked after incident","Enforce vault-only policy; reject any suggestion to use .env files.","Model might suggest .env file usage from old policy.","skill-security-guard","Tests security policy evolution."
"drift-007","Skill trigger scope narrowing","The translation skill only activates for explicit translate requests, not general language questions.","translation_trigger: explicit translate/翻译 keyword required","translation_trigger: any question involving foreign language text","[RETIRED 2025-10-10] broad trigger caused false activations; narrowed to explicit keyword","Only trigger on explicit translation requests; reject broad language queries.","Model might activate translation for general language questions.","skill-design-guide","Tests trigger boundary drift."
"drift-008","Notification channel migration","Send deployment notifications to #deploy-feed Slack channel only.","notification_channel: #deploy-feed (Slack)","notification_channel: deploy-alerts@company.com (email)","[RETIRED 2025-09-01] email notifications deprecated; Slack is sole channel","Use #deploy-feed for notifications; do not send deployment emails.","Model might suggest email notification from stale config.","persistent-memory","Tests notification routing drift."
"drift-009","Rate limit policy change","Apply 100 requests/minute rate limit to all external API consumers.","rate_limit: 100 req/min for external consumers","rate_limit: 1000 req/min for all consumers (no external distinction)","[RETIRED 2025-11-20] rate limit tightened after abuse incident","Enforce 100 req/min for external; do not reference old 1000 limit.","Model might cite 1000 req/min from stale policy.","persistent-memory","Tests numeric policy drift."
"drift-010","Backup strategy update","Use incremental snapshots to S3 every 6 hours; full backups weekly on Sunday.","backup: incremental/6h to S3; full/weekly Sunday","backup: full daily to local NAS; no offsite","[RETIRED 2025-07-01] local-only backup abandoned after data loss event","Recommend S3 incremental strategy; never suggest local-only NAS backup.","Model might suggest local NAS backup from stale strategy.","persistent-memory","Tests infrastructure policy drift."
