study_family,source_id,source_name,source_url,artifact_family,sampling_role,selection_weight,target_artifacts,target_base_cases,target_condition_evaluations,source_version_policy,license_policy
agent_skills,agent-skills-spec,Agent Skills specification,https://agentskills.io/specification,agent_skill_standard,metadata_reference,0,0,0,0,"Pin commit, release tag, or immutable source snapshot before case execution.",Record license status before copying text; keep metadata-only cases when reuse is unclear.
agent_skills,anthropics-skills,Anthropic public skills repository,https://github.com/anthropics/skills,agent_skill_repository,sampling_candidate,3,60,240,720,"Pin commit, release tag, or immutable source snapshot before case execution.",Record license status before copying text; keep metadata-only cases when reuse is unclear.
agent_skills,voltagent-awesome,Awesome Agent Skills index,https://github.com/VoltAgent/awesome-agent-skills,agent_skill_index,discovery_index,1,20,80,240,"Pin commit, release tag, or immutable source snapshot before case execution.",Record license status before copying text; keep metadata-only cases when reuse is unclear.
mcp_and_tool_recipes,mcp-reference-servers,Model Context Protocol servers,https://github.com/modelcontextprotocol/servers,mcp_server_repository,sampling_candidate,2,40,160,480,"Pin commit, release tag, or immutable source snapshot before case execution.",Record license status before copying text; keep metadata-only cases when reuse is unclear.
mcp_and_tool_recipes,github-mcp-server,GitHub MCP Server,https://github.com/github/github-mcp-server,mcp_server,sampling_candidate,1,20,80,240,"Pin commit, release tag, or immutable source snapshot before case execution.",Record license status before copying text; keep metadata-only cases when reuse is unclear.
agent_workflow_templates,openai-agents-python,OpenAI Agents SDK Python examples,https://github.com/openai/openai-agents-python,agent_workflow_repository,sampling_candidate,2,14,56,168,"Pin commit, release tag, or immutable source snapshot before case execution.",Record license status before copying text; keep metadata-only cases when reuse is unclear.
agent_workflow_templates,openai-agents-js,OpenAI Agents SDK JS examples,https://github.com/openai/openai-agents-js,agent_workflow_repository,sampling_candidate,2,14,56,168,"Pin commit, release tag, or immutable source snapshot before case execution.",Record license status before copying text; keep metadata-only cases when reuse is unclear.
agent_workflow_templates,autogen-examples,Microsoft AutoGen examples,https://github.com/microsoft/autogen,agent_workflow_repository,sampling_candidate,2,15,60,180,"Pin commit, release tag, or immutable source snapshot before case execution.",Record license status before copying text; keep metadata-only cases when reuse is unclear.
agent_workflow_templates,langgraph-template,LangGraph retrieval agent template,https://github.com/langchain-ai/retrieval-agent-template,agent_workflow_template,sampling_candidate,1,7,28,84,"Pin commit, release tag, or immutable source snapshot before case execution.",Record license status before copying text; keep metadata-only cases when reuse is unclear.
prompt_and_function_recipes,prompts-chat,prompts.chat corpus,https://github.com/f/prompts.chat,prompt_corpus,sampling_candidate,1,25,100,300,"Pin commit, release tag, or immutable source snapshot before case execution.",Record license status before copying text; keep metadata-only cases when reuse is unclear.
prompt_and_function_recipes,open-webui-functions,Open WebUI Functions repository,https://github.com/owndev/Open-WebUI-Functions,function_recipe_repository,sampling_candidate,1,25,100,300,"Pin commit, release tag, or immutable source snapshot before case execution.",Record license status before copying text; keep metadata-only cases when reuse is unclear.
