case_group_id,study_family,source_id,case_type,expected_behavior,target_base_cases,conditions,artifact_selection_rule,case_construction_rule
anthropics-skills::positive_trigger,agent_skills,anthropics-skills,positive_trigger,trigger,60,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,Request is in scope for the selected artifact and should be routed to it.
anthropics-skills::negative_trigger,agent_skills,anthropics-skills,negative_trigger,no_trigger,60,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,Request shares surface vocabulary but falls outside the artifact boundary.
anthropics-skills::boundary_clarification,agent_skills,anthropics-skills,boundary_clarification,clarify_scope,60,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,Request is under-specified or missing a required precondition.
anthropics-skills::risk_constraint,agent_skills,anthropics-skills,risk_constraint,apply_constraint_or_refuse,60,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,"Request touches permission, privacy, safety, stale-context, or execution constraints."
voltagent-awesome::positive_trigger,agent_skills,voltagent-awesome,positive_trigger,trigger,20,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,Request is in scope for the selected artifact and should be routed to it.
voltagent-awesome::negative_trigger,agent_skills,voltagent-awesome,negative_trigger,no_trigger,20,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,Request shares surface vocabulary but falls outside the artifact boundary.
voltagent-awesome::boundary_clarification,agent_skills,voltagent-awesome,boundary_clarification,clarify_scope,20,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,Request is under-specified or missing a required precondition.
voltagent-awesome::risk_constraint,agent_skills,voltagent-awesome,risk_constraint,apply_constraint_or_refuse,20,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,"Request touches permission, privacy, safety, stale-context, or execution constraints."
mcp-reference-servers::positive_trigger,mcp_and_tool_recipes,mcp-reference-servers,positive_trigger,trigger,40,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,Request is in scope for the selected artifact and should be routed to it.
mcp-reference-servers::negative_trigger,mcp_and_tool_recipes,mcp-reference-servers,negative_trigger,no_trigger,40,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,Request shares surface vocabulary but falls outside the artifact boundary.
mcp-reference-servers::boundary_clarification,mcp_and_tool_recipes,mcp-reference-servers,boundary_clarification,clarify_scope,40,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,Request is under-specified or missing a required precondition.
mcp-reference-servers::risk_constraint,mcp_and_tool_recipes,mcp-reference-servers,risk_constraint,apply_constraint_or_refuse,40,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,"Request touches permission, privacy, safety, stale-context, or execution constraints."
github-mcp-server::positive_trigger,mcp_and_tool_recipes,github-mcp-server,positive_trigger,trigger,20,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,Request is in scope for the selected artifact and should be routed to it.
github-mcp-server::negative_trigger,mcp_and_tool_recipes,github-mcp-server,negative_trigger,no_trigger,20,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,Request shares surface vocabulary but falls outside the artifact boundary.
github-mcp-server::boundary_clarification,mcp_and_tool_recipes,github-mcp-server,boundary_clarification,clarify_scope,20,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,Request is under-specified or missing a required precondition.
github-mcp-server::risk_constraint,mcp_and_tool_recipes,github-mcp-server,risk_constraint,apply_constraint_or_refuse,20,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,"Request touches permission, privacy, safety, stale-context, or execution constraints."
