assignment_id,case_id,artifact_id,study_family,case_type,review_phase,reviewer_slot,reviewer_id,assignment_status,peer_response_visibility,released_data_boundary
ext-art-063-bnd::a,ext-art-063-bnd,ext-art-063,agent_skills,boundary_clarification,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-063-bnd::b,ext-art-063-bnd,ext-art-063,agent_skills,boundary_clarification,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-063-neg::a,ext-art-063-neg,ext-art-063,agent_skills,negative_trigger,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-063-neg::b,ext-art-063-neg,ext-art-063,agent_skills,negative_trigger,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-063-pos::a,ext-art-063-pos,ext-art-063,agent_skills,positive_trigger,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-063-pos::b,ext-art-063-pos,ext-art-063,agent_skills,positive_trigger,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-063-risk::a,ext-art-063-risk,ext-art-063,agent_skills,risk_constraint,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-063-risk::b,ext-art-063-risk,ext-art-063,agent_skills,risk_constraint,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-067-bnd::a,ext-art-067-bnd,ext-art-067,agent_skills,boundary_clarification,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-067-bnd::b,ext-art-067-bnd,ext-art-067,agent_skills,boundary_clarification,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-067-neg::a,ext-art-067-neg,ext-art-067,agent_skills,negative_trigger,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-067-neg::b,ext-art-067-neg,ext-art-067,agent_skills,negative_trigger,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-067-pos::a,ext-art-067-pos,ext-art-067,agent_skills,positive_trigger,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-067-pos::b,ext-art-067-pos,ext-art-067,agent_skills,positive_trigger,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-067-risk::a,ext-art-067-risk,ext-art-067,agent_skills,risk_constraint,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-067-risk::b,ext-art-067-risk,ext-art-067,agent_skills,risk_constraint,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-122-bnd::a,ext-art-122-bnd,ext-art-122,mcp_and_tool_recipes,boundary_clarification,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-122-bnd::b,ext-art-122-bnd,ext-art-122,mcp_and_tool_recipes,boundary_clarification,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-122-neg::a,ext-art-122-neg,ext-art-122,mcp_and_tool_recipes,negative_trigger,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-122-neg::b,ext-art-122-neg,ext-art-122,mcp_and_tool_recipes,negative_trigger,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-122-pos::a,ext-art-122-pos,ext-art-122,mcp_and_tool_recipes,positive_trigger,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-122-pos::b,ext-art-122-pos,ext-art-122,mcp_and_tool_recipes,positive_trigger,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-122-risk::a,ext-art-122-risk,ext-art-122,mcp_and_tool_recipes,risk_constraint,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-122-risk::b,ext-art-122-risk,ext-art-122,mcp_and_tool_recipes,risk_constraint,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-124-bnd::a,ext-art-124-bnd,ext-art-124,mcp_and_tool_recipes,boundary_clarification,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-124-bnd::b,ext-art-124-bnd,ext-art-124,mcp_and_tool_recipes,boundary_clarification,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-124-neg::a,ext-art-124-neg,ext-art-124,mcp_and_tool_recipes,negative_trigger,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-124-neg::b,ext-art-124-neg,ext-art-124,mcp_and_tool_recipes,negative_trigger,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-124-pos::a,ext-art-124-pos,ext-art-124,mcp_and_tool_recipes,positive_trigger,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-124-pos::b,ext-art-124-pos,ext-art-124,mcp_and_tool_recipes,positive_trigger,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-124-risk::a,ext-art-124-risk,ext-art-124,mcp_and_tool_recipes,risk_constraint,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-124-risk::b,ext-art-124-risk,ext-art-124,mcp_and_tool_recipes,risk_constraint,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-154-bnd::a,ext-art-154-bnd,ext-art-154,agent_workflow_templates,boundary_clarification,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-154-bnd::b,ext-art-154-bnd,ext-art-154,agent_workflow_templates,boundary_clarification,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-154-neg::a,ext-art-154-neg,ext-art-154,agent_workflow_templates,negative_trigger,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-154-neg::b,ext-art-154-neg,ext-art-154,agent_workflow_templates,negative_trigger,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-154-pos::a,ext-art-154-pos,ext-art-154,agent_workflow_templates,positive_trigger,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-154-pos::b,ext-art-154-pos,ext-art-154,agent_workflow_templates,positive_trigger,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-154-risk::a,ext-art-154-risk,ext-art-154,agent_workflow_templates,risk_constraint,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-154-risk::b,ext-art-154-risk,ext-art-154,agent_workflow_templates,risk_constraint,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-155-bnd::a,ext-art-155-bnd,ext-art-155,agent_workflow_templates,boundary_clarification,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-155-bnd::b,ext-art-155-bnd,ext-art-155,agent_workflow_templates,boundary_clarification,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-155-neg::a,ext-art-155-neg,ext-art-155,agent_workflow_templates,negative_trigger,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-155-neg::b,ext-art-155-neg,ext-art-155,agent_workflow_templates,negative_trigger,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-155-pos::a,ext-art-155-pos,ext-art-155,agent_workflow_templates,positive_trigger,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-155-pos::b,ext-art-155-pos,ext-art-155,agent_workflow_templates,positive_trigger,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-155-risk::a,ext-art-155-risk,ext-art-155,agent_workflow_templates,risk_constraint,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-155-risk::b,ext-art-155-risk,ext-art-155,agent_workflow_templates,risk_constraint,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-203-bnd::a,ext-art-203-bnd,ext-art-203,prompt_and_function_recipes,boundary_clarification,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-203-bnd::b,ext-art-203-bnd,ext-art-203,prompt_and_function_recipes,boundary_clarification,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-203-neg::a,ext-art-203-neg,ext-art-203,prompt_and_function_recipes,negative_trigger,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-203-neg::b,ext-art-203-neg,ext-art-203,prompt_and_function_recipes,negative_trigger,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-203-pos::a,ext-art-203-pos,ext-art-203,prompt_and_function_recipes,positive_trigger,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-203-pos::b,ext-art-203-pos,ext-art-203,prompt_and_function_recipes,positive_trigger,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-203-risk::a,ext-art-203-risk,ext-art-203,prompt_and_function_recipes,risk_constraint,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-203-risk::b,ext-art-203-risk,ext-art-203,prompt_and_function_recipes,risk_constraint,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-216-bnd::a,ext-art-216-bnd,ext-art-216,prompt_and_function_recipes,boundary_clarification,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-216-bnd::b,ext-art-216-bnd,ext-art-216,prompt_and_function_recipes,boundary_clarification,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-216-neg::a,ext-art-216-neg,ext-art-216,prompt_and_function_recipes,negative_trigger,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-216-neg::b,ext-art-216-neg,ext-art-216,prompt_and_function_recipes,negative_trigger,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-216-pos::a,ext-art-216-pos,ext-art-216,prompt_and_function_recipes,positive_trigger,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-216-pos::b,ext-art-216-pos,ext-art-216,prompt_and_function_recipes,positive_trigger,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-216-risk::a,ext-art-216-risk,ext-art-216,prompt_and_function_recipes,risk_constraint,calibration,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-216-risk::b,ext-art-216-risk,ext-art-216,prompt_and_function_recipes,risk_constraint,calibration,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-070-bnd::a,ext-art-070-bnd,ext-art-070,agent_skills,boundary_clarification,pilot_after_calibration_lock,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-070-bnd::b,ext-art-070-bnd,ext-art-070,agent_skills,boundary_clarification,pilot_after_calibration_lock,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-070-neg::a,ext-art-070-neg,ext-art-070,agent_skills,negative_trigger,pilot_after_calibration_lock,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-070-neg::b,ext-art-070-neg,ext-art-070,agent_skills,negative_trigger,pilot_after_calibration_lock,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-070-pos::a,ext-art-070-pos,ext-art-070,agent_skills,positive_trigger,pilot_after_calibration_lock,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-070-pos::b,ext-art-070-pos,ext-art-070,agent_skills,positive_trigger,pilot_after_calibration_lock,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-070-risk::a,ext-art-070-risk,ext-art-070,agent_skills,risk_constraint,pilot_after_calibration_lock,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-070-risk::b,ext-art-070-risk,ext-art-070,agent_skills,risk_constraint,pilot_after_calibration_lock,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-073-bnd::a,ext-art-073-bnd,ext-art-073,agent_skills,boundary_clarification,pilot_after_calibration_lock,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-073-bnd::b,ext-art-073-bnd,ext-art-073,agent_skills,boundary_clarification,pilot_after_calibration_lock,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-073-neg::a,ext-art-073-neg,ext-art-073,agent_skills,negative_trigger,pilot_after_calibration_lock,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-073-neg::b,ext-art-073-neg,ext-art-073,agent_skills,negative_trigger,pilot_after_calibration_lock,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-073-pos::a,ext-art-073-pos,ext-art-073,agent_skills,positive_trigger,pilot_after_calibration_lock,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-073-pos::b,ext-art-073-pos,ext-art-073,agent_skills,positive_trigger,pilot_after_calibration_lock,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-073-risk::a,ext-art-073-risk,ext-art-073,agent_skills,risk_constraint,pilot_after_calibration_lock,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-073-risk::b,ext-art-073-risk,ext-art-073,agent_skills,risk_constraint,pilot_after_calibration_lock,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-079-bnd::a,ext-art-079-bnd,ext-art-079,agent_skills,boundary_clarification,pilot_after_calibration_lock,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-079-bnd::b,ext-art-079-bnd,ext-art-079,agent_skills,boundary_clarification,pilot_after_calibration_lock,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-079-neg::a,ext-art-079-neg,ext-art-079,agent_skills,negative_trigger,pilot_after_calibration_lock,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-079-neg::b,ext-art-079-neg,ext-art-079,agent_skills,negative_trigger,pilot_after_calibration_lock,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-079-pos::a,ext-art-079-pos,ext-art-079,agent_skills,positive_trigger,pilot_after_calibration_lock,a,rater_001,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
ext-art-079-pos::b,ext-art-079-pos,ext-art-079,agent_skills,positive_trigger,pilot_after_calibration_lock,b,rater_002,reserved_pending_external_reviewer,hidden_until_independent_review_complete,metadata_only_no_contact_payment_or_private_source_data
