condition_case_id,case_id,artifact_id,study_family,source_id,source_owner,ecosystem,artifact_family_group,case_type,condition,expected_behavior,risk_label,pilot_status
ext-art-063-pos::original_freeform,ext-art-063-pos,ext-art-063,agent_skills,voltagent-awesome,behisecc,community-index,agent_skills,positive_trigger,original_freeform,trigger,none,selected_pending_annotation
ext-art-063-pos::skillops_normalized,ext-art-063-pos,ext-art-063,agent_skills,voltagent-awesome,behisecc,community-index,agent_skills,positive_trigger,skillops_normalized,trigger,none,selected_pending_annotation
ext-art-063-pos::skillops_ablation,ext-art-063-pos,ext-art-063,agent_skills,voltagent-awesome,behisecc,community-index,agent_skills,positive_trigger,skillops_ablation,trigger,none,selected_pending_annotation
ext-art-063-neg::original_freeform,ext-art-063-neg,ext-art-063,agent_skills,voltagent-awesome,behisecc,community-index,agent_skills,negative_trigger,original_freeform,no_trigger,permission_boundary,selected_pending_annotation
ext-art-063-neg::skillops_normalized,ext-art-063-neg,ext-art-063,agent_skills,voltagent-awesome,behisecc,community-index,agent_skills,negative_trigger,skillops_normalized,no_trigger,permission_boundary,selected_pending_annotation
ext-art-063-neg::skillops_ablation,ext-art-063-neg,ext-art-063,agent_skills,voltagent-awesome,behisecc,community-index,agent_skills,negative_trigger,skillops_ablation,no_trigger,permission_boundary,selected_pending_annotation
ext-art-063-bnd::original_freeform,ext-art-063-bnd,ext-art-063,agent_skills,voltagent-awesome,behisecc,community-index,agent_skills,boundary_clarification,original_freeform,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-063-bnd::skillops_normalized,ext-art-063-bnd,ext-art-063,agent_skills,voltagent-awesome,behisecc,community-index,agent_skills,boundary_clarification,skillops_normalized,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-063-bnd::skillops_ablation,ext-art-063-bnd,ext-art-063,agent_skills,voltagent-awesome,behisecc,community-index,agent_skills,boundary_clarification,skillops_ablation,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-063-risk::original_freeform,ext-art-063-risk,ext-art-063,agent_skills,voltagent-awesome,behisecc,community-index,agent_skills,risk_constraint,original_freeform,apply_constraint_or_refuse,privacy,selected_pending_annotation
ext-art-063-risk::skillops_normalized,ext-art-063-risk,ext-art-063,agent_skills,voltagent-awesome,behisecc,community-index,agent_skills,risk_constraint,skillops_normalized,apply_constraint_or_refuse,privacy,selected_pending_annotation
ext-art-063-risk::skillops_ablation,ext-art-063-risk,ext-art-063,agent_skills,voltagent-awesome,behisecc,community-index,agent_skills,risk_constraint,skillops_ablation,apply_constraint_or_refuse,privacy,selected_pending_annotation
ext-art-067-pos::original_freeform,ext-art-067-pos,ext-art-067,agent_skills,voltagent-awesome,cosmoblk,community-index,agent_skills,positive_trigger,original_freeform,trigger,none,selected_pending_annotation
ext-art-067-pos::skillops_normalized,ext-art-067-pos,ext-art-067,agent_skills,voltagent-awesome,cosmoblk,community-index,agent_skills,positive_trigger,skillops_normalized,trigger,none,selected_pending_annotation
ext-art-067-pos::skillops_ablation,ext-art-067-pos,ext-art-067,agent_skills,voltagent-awesome,cosmoblk,community-index,agent_skills,positive_trigger,skillops_ablation,trigger,none,selected_pending_annotation
ext-art-067-neg::original_freeform,ext-art-067-neg,ext-art-067,agent_skills,voltagent-awesome,cosmoblk,community-index,agent_skills,negative_trigger,original_freeform,no_trigger,permission_boundary,selected_pending_annotation
ext-art-067-neg::skillops_normalized,ext-art-067-neg,ext-art-067,agent_skills,voltagent-awesome,cosmoblk,community-index,agent_skills,negative_trigger,skillops_normalized,no_trigger,permission_boundary,selected_pending_annotation
ext-art-067-neg::skillops_ablation,ext-art-067-neg,ext-art-067,agent_skills,voltagent-awesome,cosmoblk,community-index,agent_skills,negative_trigger,skillops_ablation,no_trigger,permission_boundary,selected_pending_annotation
ext-art-067-bnd::original_freeform,ext-art-067-bnd,ext-art-067,agent_skills,voltagent-awesome,cosmoblk,community-index,agent_skills,boundary_clarification,original_freeform,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-067-bnd::skillops_normalized,ext-art-067-bnd,ext-art-067,agent_skills,voltagent-awesome,cosmoblk,community-index,agent_skills,boundary_clarification,skillops_normalized,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-067-bnd::skillops_ablation,ext-art-067-bnd,ext-art-067,agent_skills,voltagent-awesome,cosmoblk,community-index,agent_skills,boundary_clarification,skillops_ablation,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-067-risk::original_freeform,ext-art-067-risk,ext-art-067,agent_skills,voltagent-awesome,cosmoblk,community-index,agent_skills,risk_constraint,original_freeform,apply_constraint_or_refuse,privacy,selected_pending_annotation
ext-art-067-risk::skillops_normalized,ext-art-067-risk,ext-art-067,agent_skills,voltagent-awesome,cosmoblk,community-index,agent_skills,risk_constraint,skillops_normalized,apply_constraint_or_refuse,privacy,selected_pending_annotation
ext-art-067-risk::skillops_ablation,ext-art-067-risk,ext-art-067,agent_skills,voltagent-awesome,cosmoblk,community-index,agent_skills,risk_constraint,skillops_ablation,apply_constraint_or_refuse,privacy,selected_pending_annotation
ext-art-070-pos::original_freeform,ext-art-070-pos,ext-art-070,agent_skills,voltagent-awesome,eronred,community-index,agent_skills,positive_trigger,original_freeform,trigger,none,selected_pending_annotation
ext-art-070-pos::skillops_normalized,ext-art-070-pos,ext-art-070,agent_skills,voltagent-awesome,eronred,community-index,agent_skills,positive_trigger,skillops_normalized,trigger,none,selected_pending_annotation
ext-art-070-pos::skillops_ablation,ext-art-070-pos,ext-art-070,agent_skills,voltagent-awesome,eronred,community-index,agent_skills,positive_trigger,skillops_ablation,trigger,none,selected_pending_annotation
ext-art-070-neg::original_freeform,ext-art-070-neg,ext-art-070,agent_skills,voltagent-awesome,eronred,community-index,agent_skills,negative_trigger,original_freeform,no_trigger,permission_boundary,selected_pending_annotation
ext-art-070-neg::skillops_normalized,ext-art-070-neg,ext-art-070,agent_skills,voltagent-awesome,eronred,community-index,agent_skills,negative_trigger,skillops_normalized,no_trigger,permission_boundary,selected_pending_annotation
ext-art-070-neg::skillops_ablation,ext-art-070-neg,ext-art-070,agent_skills,voltagent-awesome,eronred,community-index,agent_skills,negative_trigger,skillops_ablation,no_trigger,permission_boundary,selected_pending_annotation
ext-art-070-bnd::original_freeform,ext-art-070-bnd,ext-art-070,agent_skills,voltagent-awesome,eronred,community-index,agent_skills,boundary_clarification,original_freeform,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-070-bnd::skillops_normalized,ext-art-070-bnd,ext-art-070,agent_skills,voltagent-awesome,eronred,community-index,agent_skills,boundary_clarification,skillops_normalized,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-070-bnd::skillops_ablation,ext-art-070-bnd,ext-art-070,agent_skills,voltagent-awesome,eronred,community-index,agent_skills,boundary_clarification,skillops_ablation,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-070-risk::original_freeform,ext-art-070-risk,ext-art-070,agent_skills,voltagent-awesome,eronred,community-index,agent_skills,risk_constraint,original_freeform,apply_constraint_or_refuse,privacy,selected_pending_annotation
ext-art-070-risk::skillops_normalized,ext-art-070-risk,ext-art-070,agent_skills,voltagent-awesome,eronred,community-index,agent_skills,risk_constraint,skillops_normalized,apply_constraint_or_refuse,privacy,selected_pending_annotation
ext-art-070-risk::skillops_ablation,ext-art-070-risk,ext-art-070,agent_skills,voltagent-awesome,eronred,community-index,agent_skills,risk_constraint,skillops_ablation,apply_constraint_or_refuse,privacy,selected_pending_annotation
ext-art-073-pos::original_freeform,ext-art-073-pos,ext-art-073,agent_skills,voltagent-awesome,heshamfs,community-index,agent_skills,positive_trigger,original_freeform,trigger,none,selected_pending_annotation
ext-art-073-pos::skillops_normalized,ext-art-073-pos,ext-art-073,agent_skills,voltagent-awesome,heshamfs,community-index,agent_skills,positive_trigger,skillops_normalized,trigger,none,selected_pending_annotation
ext-art-073-pos::skillops_ablation,ext-art-073-pos,ext-art-073,agent_skills,voltagent-awesome,heshamfs,community-index,agent_skills,positive_trigger,skillops_ablation,trigger,none,selected_pending_annotation
ext-art-073-neg::original_freeform,ext-art-073-neg,ext-art-073,agent_skills,voltagent-awesome,heshamfs,community-index,agent_skills,negative_trigger,original_freeform,no_trigger,permission_boundary,selected_pending_annotation
ext-art-073-neg::skillops_normalized,ext-art-073-neg,ext-art-073,agent_skills,voltagent-awesome,heshamfs,community-index,agent_skills,negative_trigger,skillops_normalized,no_trigger,permission_boundary,selected_pending_annotation
ext-art-073-neg::skillops_ablation,ext-art-073-neg,ext-art-073,agent_skills,voltagent-awesome,heshamfs,community-index,agent_skills,negative_trigger,skillops_ablation,no_trigger,permission_boundary,selected_pending_annotation
ext-art-073-bnd::original_freeform,ext-art-073-bnd,ext-art-073,agent_skills,voltagent-awesome,heshamfs,community-index,agent_skills,boundary_clarification,original_freeform,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-073-bnd::skillops_normalized,ext-art-073-bnd,ext-art-073,agent_skills,voltagent-awesome,heshamfs,community-index,agent_skills,boundary_clarification,skillops_normalized,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-073-bnd::skillops_ablation,ext-art-073-bnd,ext-art-073,agent_skills,voltagent-awesome,heshamfs,community-index,agent_skills,boundary_clarification,skillops_ablation,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-073-risk::original_freeform,ext-art-073-risk,ext-art-073,agent_skills,voltagent-awesome,heshamfs,community-index,agent_skills,risk_constraint,original_freeform,apply_constraint_or_refuse,privacy,selected_pending_annotation
ext-art-073-risk::skillops_normalized,ext-art-073-risk,ext-art-073,agent_skills,voltagent-awesome,heshamfs,community-index,agent_skills,risk_constraint,skillops_normalized,apply_constraint_or_refuse,privacy,selected_pending_annotation
ext-art-073-risk::skillops_ablation,ext-art-073-risk,ext-art-073,agent_skills,voltagent-awesome,heshamfs,community-index,agent_skills,risk_constraint,skillops_ablation,apply_constraint_or_refuse,privacy,selected_pending_annotation
ext-art-079-pos::original_freeform,ext-art-079-pos,ext-art-079,agent_skills,voltagent-awesome,mohamedabdallah-14,community-index,agent_skills,positive_trigger,original_freeform,trigger,none,selected_pending_annotation
