source_id,source_name,artifact_family,source_url,source_kind,analysis_status,license_declared,github_stars,github_forks,default_branch,tree_files,readme_files,license_files,skill_md_files,example_files,test_files,script_files,workflow_files,schema_files,security_files,manifest_files,docs_files,lifecycle_indicator_count,analysis_notes
agent-skills-spec,Agent Skills specification,agent_skill_standard,https://agentskills.io/specification,web_reference,metadata_only,public specification,,,,,,,,,,,,,,,,,Non-GitHub source; retained as citable metadata.
anthropics-skills,Anthropic public skills repository,agent_skill_repository,https://github.com/anthropics/skills,github_repo_git_tree,ok_git_fallback,mixed,,,main,398,9,16,18,9,7,206,0,119,0,0,0,7,GitHub API returned HTTP 403; GitHub API unavailable; analyzed file tree from a blobless no-checkout Git clone outside the repository.
voltagent-awesome,Awesome Agent Skills index,agent_skill_index,https://github.com/VoltAgent/awesome-agent-skills,github_repo_git_tree,ok_git_fallback,curated index,,,main,4,1,1,0,0,0,0,0,0,0,0,0,2,GitHub API returned HTTP 403; GitHub API unavailable; analyzed file tree from a blobless no-checkout Git clone outside the repository.
mcp-reference-servers,Model Context Protocol servers,mcp_server_repository,https://github.com/modelcontextprotocol/servers,github_repo_git_tree,ok_git_fallback,mixed,,,main,143,9,3,0,0,24,80,5,17,1,8,7,9,GitHub API returned HTTP 403; GitHub API unavailable; analyzed file tree from a blobless no-checkout Git clone outside the repository.
github-mcp-server,GitHub MCP Server,mcp_server,https://github.com/github/github-mcp-server,github_repo_git_tree,ok_git_fallback,MIT,,,main,489,4,35,0,0,75,27,16,26,7,1,27,9,GitHub API returned HTTP 403; GitHub API unavailable; analyzed file tree from a blobless no-checkout Git clone outside the repository.
openai-agents-python,OpenAI Agents SDK Python examples,agent_workflow_repository,https://github.com/openai/openai-agents-python,github_repo_git_tree,ok_git_fallback,MIT,,,main,1352,35,1,14,315,288,794,13,46,27,1,399,11,GitHub API returned HTTP 403; GitHub API unavailable; analyzed file tree from a blobless no-checkout Git clone outside the repository.
openai-agents-js,OpenAI Agents SDK JS examples,agent_workflow_repository,https://github.com/openai/openai-agents-js,github_repo_git_tree,ok_git_fallback,MIT,,,main,1242,35,1,16,449,250,824,6,129,23,39,307,11,GitHub API returned HTTP 403; GitHub API unavailable; analyzed file tree from a blobless no-checkout Git clone outside the repository.
autogen-examples,Microsoft AutoGen examples,agent_workflow_repository,https://github.com/microsoft/autogen,github_repo_git_tree,ok_git_fallback,MIT,,,main,1837,52,2,0,307,319,711,18,117,2,13,186,10,GitHub API returned HTTP 403; GitHub API unavailable; analyzed file tree from a blobless no-checkout Git clone outside the repository.
langgraph-template,LangGraph retrieval agent template,agent_workflow_template,https://github.com/langchain-ai/retrieval-agent-template,github_repo_git_tree,ok_git_fallback,MIT,,,main,25,1,1,0,1,7,13,2,3,0,1,0,8,GitHub API returned HTTP 403; GitHub API unavailable; analyzed file tree from a blobless no-checkout Git clone outside the repository.
prompts-chat,prompts.chat corpus,prompt_corpus,https://github.com/f/prompts.chat,github_repo_git_tree,ok_git_fallback,CC0,,,main,1517,4,1,4,21,54,524,8,50,2,4,2,11,GitHub API returned HTTP 403; GitHub API unavailable; analyzed file tree from a blobless no-checkout Git clone outside the repository.
open-webui-functions,Open WebUI Functions repository,function_recipe_repository,https://github.com/owndev/Open-WebUI-Functions,github_repo_git_tree,ok_git_fallback,Apache-2.0,,,main,78,1,1,0,0,3,7,3,17,4,0,12,8,GitHub API returned HTTP 403; GitHub API unavailable; analyzed file tree from a blobless no-checkout Git clone outside the repository.
