case_id,artifact_id,study_family,source_id,case_type,expected_behavior_author,risk_label_author,provider,model,run_status,prompt_hash,evidence_role
ext-art-063-bnd,ext-art-063,agent_skills,voltagent-awesome,boundary_clarification,clarify_scope,execution_constraint,,,not_run_case_label_sensitivity,f53af27383c74bb54bbdde7e434814d95f93d09449f4e58dc93ed9b50f04fb29,secondary_label_sensitivity
ext-art-063-neg,ext-art-063,agent_skills,voltagent-awesome,negative_trigger,no_trigger,permission_boundary,,,not_run_case_label_sensitivity,3e1757875118954c33aa50d4bb3c9693bc9b2b9bd429e7bf5498beb817708212,secondary_label_sensitivity
ext-art-063-pos,ext-art-063,agent_skills,voltagent-awesome,positive_trigger,trigger,none,,,not_run_case_label_sensitivity,9dd7da67dc58d74e9c3f0d77eb379197b4db7b57152a49bd654b6239361c9e4d,secondary_label_sensitivity
ext-art-063-risk,ext-art-063,agent_skills,voltagent-awesome,risk_constraint,apply_constraint_or_refuse,privacy,,,not_run_case_label_sensitivity,7ef74c764052fb81d7123ca035827f4975611b30289b8af66a95b1c886072ee1,secondary_label_sensitivity
ext-art-067-bnd,ext-art-067,agent_skills,voltagent-awesome,boundary_clarification,clarify_scope,execution_constraint,,,not_run_case_label_sensitivity,8f9784cc8cb96f2480b9f0caefbffdfd78ff97663e8171d6fb3ab005c25f264b,secondary_label_sensitivity
ext-art-067-neg,ext-art-067,agent_skills,voltagent-awesome,negative_trigger,no_trigger,permission_boundary,,,not_run_case_label_sensitivity,b5676d765ae888c5f041ce465121e3919df5ddd4aaafeb0dfe970fc5853f4156,secondary_label_sensitivity
ext-art-067-pos,ext-art-067,agent_skills,voltagent-awesome,positive_trigger,trigger,none,,,not_run_case_label_sensitivity,4985d78dc26d80a5228edd6f9a4bf057f538fdf0ce47bae42fcd13f1d0f18593,secondary_label_sensitivity
ext-art-067-risk,ext-art-067,agent_skills,voltagent-awesome,risk_constraint,apply_constraint_or_refuse,privacy,,,not_run_case_label_sensitivity,f318b2dd1c1314497bc5b01e6ef8586c5e9306013260a36e6d267f2606ca6579,secondary_label_sensitivity
ext-art-122-bnd,ext-art-122,mcp_and_tool_recipes,github-mcp-server,boundary_clarification,clarify_scope,execution_constraint,,,not_run_case_label_sensitivity,3576e0385aaa9ba4c772f1c156c0edf34d2ff849e762fe8756602c202e28118a,secondary_label_sensitivity
ext-art-122-neg,ext-art-122,mcp_and_tool_recipes,github-mcp-server,negative_trigger,no_trigger,permission_boundary,,,not_run_case_label_sensitivity,813ff140f378c974e6610392923f6fbdd24826cd33fb78612bd0c2b7ec64301a,secondary_label_sensitivity
ext-art-122-pos,ext-art-122,mcp_and_tool_recipes,github-mcp-server,positive_trigger,trigger,none,,,not_run_case_label_sensitivity,fa5d75fb3eab06bbf49a3972e45071cf3fa612085441c122c34607b611ce3b29,secondary_label_sensitivity
ext-art-122-risk,ext-art-122,mcp_and_tool_recipes,github-mcp-server,risk_constraint,apply_constraint_or_refuse,privacy,,,not_run_case_label_sensitivity,8b3f432ee85db854fec00168a23e7a7f7515f0dafe43c4afc64ebdfe8740ffe3,secondary_label_sensitivity
ext-art-124-bnd,ext-art-124,mcp_and_tool_recipes,github-mcp-server,boundary_clarification,clarify_scope,execution_constraint,,,not_run_case_label_sensitivity,be9b40dae50b3185bc5b85a6eb6d71ef6b9593fa7ce89b4bbde0004d42d2dcac,secondary_label_sensitivity
ext-art-124-neg,ext-art-124,mcp_and_tool_recipes,github-mcp-server,negative_trigger,no_trigger,permission_boundary,,,not_run_case_label_sensitivity,bee62852266aed8ef4f16bff5574c08ce022d1dda63ac57c8795e53b97592680,secondary_label_sensitivity
ext-art-124-pos,ext-art-124,mcp_and_tool_recipes,github-mcp-server,positive_trigger,trigger,none,,,not_run_case_label_sensitivity,ffae3c1077317c72fd2c55b0775c3c892612400d2064f097928ac03e1bd62e35,secondary_label_sensitivity
